task_id,pass_at_1,k_iterations,final_pass,error_type,fix_type,elapsed_sec,tokens_generated,test_count,model_coder,model_tester,model_debugger
HumanEval/28,False,2,True,type,variable_rename,21.73,730,4,deepseek/deepseek-chat,gpt-4o-mini,gpt-4o
HumanEval/29,True,0,True,none,none,35.7,220,5,deepseek/deepseek-chat,gpt-4o-mini,gpt-4o
HumanEval/30,True,0,True,none,none,35.09,712,5,deepseek/deepseek-chat,gpt-4o-mini,gpt-4o
HumanEval/31,True,0,True,none,none,57.73,583,6,deepseek/deepseek-chat,gpt-4o-mini,gpt-4o
HumanEval/32,False,2,True,assertion,boundary_fix,30.74,837,8,deepseek/deepseek-chat,gpt-4o-mini,gpt-4o
HumanEval/33,True,0,True,none,none,37.5,273,6,deepseek/deepseek-chat,gpt-4o-mini,gpt-4o
HumanEval/34,True,0,True,none,none,27.27,752,6,deepseek/deepseek-chat,gpt-4o-mini,gpt-4o
HumanEval/35,True,0,True,none,none,8.41,874,3,deepseek/deepseek-chat,gpt-4o-mini,gpt-4o
HumanEval/36,True,0,True,none,none,59.61,488,4,deepseek/deepseek-chat,gpt-4o-mini,gpt-4o
HumanEval/37,True,0,True,none,none,23.87,647,6,deepseek/deepseek-chat,gpt-4o-mini,gpt-4o
HumanEval/38,True,0,True,none,none,49.23,734,10,deepseek/deepseek-chat,gpt-4o-mini,gpt-4o
HumanEval/39,True,0,True,none,none,34.96,566,6,deepseek/deepseek-chat,gpt-4o-mini,gpt-4o
HumanEval/40,True,0,True,none,none,45.56,512,9,deepseek/deepseek-chat,gpt-4o-mini,gpt-4o
HumanEval/41,True,0,True,none,none,57.24,205,4,deepseek/deepseek-chat,gpt-4o-mini,gpt-4o
HumanEval/42,True,0,True,none,none,49.51,261,6,deepseek/deepseek-chat,gpt-4o-mini,gpt-4o
HumanEval/43,True,0,True,none,none,38.57,293,9,deepseek/deepseek-chat,gpt-4o-mini,gpt-4o
HumanEval/44,True,0,True,none,none,34.37,227,10,deepseek/deepseek-chat,gpt-4o-mini,gpt-4o
HumanEval/45,False,1,True,syntax,none,64.96,165,4,deepseek/deepseek-chat,gpt-4o-mini,gpt-4o
HumanEval/46,False,2,True,type,type_cast,35.68,368,9,deepseek/deepseek-chat,gpt-4o-mini,gpt-4o
HumanEval/47,False,1,True,index,variable_rename,64.16,421,10,deepseek/deepseek-chat,gpt-4o-mini,gpt-4o
HumanEval/48,True,0,True,none,none,47.71,898,10,deepseek/deepseek-chat,gpt-4o-mini,gpt-4o
HumanEval/49,True,0,True,none,none,24.91,209,3,deepseek/deepseek-chat,gpt-4o-mini,gpt-4o
HumanEval/50,False,1,True,syntax,logic_rewrite,35.18,693,5,deepseek/deepseek-chat,gpt-4o-mini,gpt-4o
HumanEval/51,True,0,True,none,none,36.95,340,4,deepseek/deepseek-chat,gpt-4o-mini,gpt-4o
HumanEval/52,True,0,True,none,none,46.49,390,9,deepseek/deepseek-chat,gpt-4o-mini,gpt-4o
HumanEval/53,True,0,True,none,none,58.75,402,3,deepseek/deepseek-chat,gpt-4o-mini,gpt-4o
HumanEval/54,True,0,True,none,none,31.9,747,8,deepseek/deepseek-chat,gpt-4o-mini,gpt-4o
HumanEval/55,False,2,True,assertion,none,25.91,421,9,deepseek/deepseek-chat,gpt-4o-mini,gpt-4o
HumanEval/56,True,0,True,none,none,44.79,618,8,deepseek/deepseek-chat,gpt-4o-mini,gpt-4o
HumanEval/57,False,1,True,syntax,type_cast,43.41,726,4,deepseek/deepseek-chat,gpt-4o-mini,gpt-4o
HumanEval/58,True,0,True,none,none,20.15,421,5,deepseek/deepseek-chat,gpt-4o-mini,gpt-4o
HumanEval/59,False,1,True,type,boundary_fix,24.24,598,7,deepseek/deepseek-chat,gpt-4o-mini,gpt-4o
HumanEval/60,True,0,True,none,none,64.27,819,3,deepseek/deepseek-chat,gpt-4o-mini,gpt-4o
HumanEval/61,True,0,True,none,none,39.61,829,4,deepseek/deepseek-chat,gpt-4o-mini,gpt-4o
HumanEval/62,False,1,True,logic,variable_rename,58.71,716,5,deepseek/deepseek-chat,gpt-4o-mini,gpt-4o
HumanEval/63,True,0,True,none,none,42.48,884,8,deepseek/deepseek-chat,gpt-4o-mini,gpt-4o
HumanEval/64,True,0,True,none,none,44.15,420,10,deepseek/deepseek-chat,gpt-4o-mini,gpt-4o
HumanEval/65,True,0,True,none,none,59.77,202,4,deepseek/deepseek-chat,gpt-4o-mini,gpt-4o
HumanEval/66,True,0,True,none,none,55.27,195,3,deepseek/deepseek-chat,gpt-4o-mini,gpt-4o
HumanEval/67,True,0,True,none,none,15.46,418,5,deepseek/deepseek-chat,gpt-4o-mini,gpt-4o
HumanEval/68,False,3,True,runtime,variable_rename,14.38,857,5,deepseek/deepseek-chat,gpt-4o-mini,gpt-4o
HumanEval/69,True,0,True,none,none,55.57,746,5,deepseek/deepseek-chat,gpt-4o-mini,gpt-4o
HumanEval/70,True,0,True,none,none,10.38,523,3,deepseek/deepseek-chat,gpt-4o-mini,gpt-4o
HumanEval/71,False,2,True,assertion,condition_fix,46.02,512,9,deepseek/deepseek-chat,gpt-4o-mini,gpt-4o
HumanEval/72,False,1,True,type,condition_fix,63.64,331,9,deepseek/deepseek-chat,gpt-4o-mini,gpt-4o
HumanEval/73,True,0,True,none,none,49.98,490,9,deepseek/deepseek-chat,gpt-4o-mini,gpt-4o
HumanEval/74,False,2,True,logic,condition_fix,52.88,260,9,deepseek/deepseek-chat,gpt-4o-mini,gpt-4o
HumanEval/75,False,0,False,type,none,19.38,621,8,deepseek/deepseek-chat,gpt-4o-mini,gpt-4o
HumanEval/76,True,0,True,none,none,53.33,383,6,deepseek/deepseek-chat,gpt-4o-mini,gpt-4o
HumanEval/77,True,0,True,none,none,19.01,486,7,deepseek/deepseek-chat,gpt-4o-mini,gpt-4o
HumanEval/78,False,2,True,logic,none,37.04,845,8,deepseek/deepseek-chat,gpt-4o-mini,gpt-4o
HumanEval/79,False,1,True,logic,condition_fix,41.09,421,3,deepseek/deepseek-chat,gpt-4o-mini,gpt-4o
HumanEval/80,True,0,True,none,none,32.77,896,8,deepseek/deepseek-chat,gpt-4o-mini,gpt-4o
HumanEval/81,True,0,True,none,none,64.1,268,9,deepseek/deepseek-chat,gpt-4o-mini,gpt-4o
HumanEval/82,False,2,True,logic,variable_rename,48.4,151,6,deepseek/deepseek-chat,gpt-4o-mini,gpt-4o
HumanEval/83,True,0,True,none,none,11.99,830,8,deepseek/deepseek-chat,gpt-4o-mini,gpt-4o
HumanEval/84,True,0,True,none,none,45.81,277,7,deepseek/deepseek-chat,gpt-4o-mini,gpt-4o
HumanEval/85,True,0,True,none,none,46.01,484,9,deepseek/deepseek-chat,gpt-4o-mini,gpt-4o
HumanEval/86,False,1,True,type,type_cast,45.9,538,5,deepseek/deepseek-chat,gpt-4o-mini,gpt-4o
HumanEval/87,True,0,True,none,none,25.15,711,3,deepseek/deepseek-chat,gpt-4o-mini,gpt-4o
HumanEval/88,True,0,True,none,none,19.98,743,8,deepseek/deepseek-chat,gpt-4o-mini,gpt-4o
HumanEval/89,True,0,True,none,none,33.2,368,10,deepseek/deepseek-chat,gpt-4o-mini,gpt-4o
HumanEval/90,False,1,True,assertion,variable_rename,24.18,829,8,deepseek/deepseek-chat,gpt-4o-mini,gpt-4o
HumanEval/91,True,0,True,none,none,62.26,390,7,deepseek/deepseek-chat,gpt-4o-mini,gpt-4o
HumanEval/92,True,0,True,none,none,19.35,175,3,deepseek/deepseek-chat,gpt-4o-mini,gpt-4o
HumanEval/93,True,0,True,none,none,35.08,224,10,deepseek/deepseek-chat,gpt-4o-mini,gpt-4o
HumanEval/94,True,0,True,none,none,43.9,349,9,deepseek/deepseek-chat,gpt-4o-mini,gpt-4o
HumanEval/95,True,0,True,none,none,21.91,821,3,deepseek/deepseek-chat,gpt-4o-mini,gpt-4o
HumanEval/96,False,1,True,none,type_cast,20.47,862,10,deepseek/deepseek-chat,gpt-4o-mini,gpt-4o
HumanEval/97,True,0,True,none,none,22.2,274,10,deepseek/deepseek-chat,gpt-4o-mini,gpt-4o
HumanEval/98,True,0,True,none,none,34.48,693,8,deepseek/deepseek-chat,gpt-4o-mini,gpt-4o
HumanEval/99,False,0,False,runtime,none,54.46,666,9,deepseek/deepseek-chat,gpt-4o-mini,gpt-4o
HumanEval/100,False,0,False,type,none,50.39,636,10,deepseek/deepseek-chat,gpt-4o-mini,gpt-4o
HumanEval/101,True,0,True,none,none,22.09,802,7,deepseek/deepseek-chat,gpt-4o-mini,gpt-4o
HumanEval/102,False,0,False,assertion,none,21.64,600,4,deepseek/deepseek-chat,gpt-4o-mini,gpt-4o
HumanEval/103,False,2,True,logic,boundary_fix,26.22,703,4,deepseek/deepseek-chat,gpt-4o-mini,gpt-4o
HumanEval/104,True,0,True,none,none,21.18,860,5,deepseek/deepseek-chat,gpt-4o-mini,gpt-4o
HumanEval/105,False,1,True,index,type_cast,26.86,627,9,deepseek/deepseek-chat,gpt-4o-mini,gpt-4o
HumanEval/106,True,0,True,none,none,55.47,548,3,deepseek/deepseek-chat,gpt-4o-mini,gpt-4o
HumanEval/107,False,3,True,index,variable_rename,61.74,455,9,deepseek/deepseek-chat,gpt-4o-mini,gpt-4o
HumanEval/108,False,3,True,runtime,none,49.87,767,6,deepseek/deepseek-chat,gpt-4o-mini,gpt-4o
HumanEval/109,True,0,True,none,none,23.56,647,3,deepseek/deepseek-chat,gpt-4o-mini,gpt-4o
HumanEval/110,True,0,True,none,none,46.13,564,5,deepseek/deepseek-chat,gpt-4o-mini,gpt-4o
HumanEval/111,False,1,True,runtime,logic_rewrite,9.54,553,3,deepseek/deepseek-chat,gpt-4o-mini,gpt-4o
HumanEval/112,True,0,True,none,none,32.43,622,5,deepseek/deepseek-chat,gpt-4o-mini,gpt-4o
HumanEval/113,True,0,True,none,none,29.61,366,10,deepseek/deepseek-chat,gpt-4o-mini,gpt-4o
HumanEval/114,True,0,True,none,none,51.39,538,7,deepseek/deepseek-chat,gpt-4o-mini,gpt-4o
HumanEval/115,False,3,True,logic,variable_rename,34.81,702,3,deepseek/deepseek-chat,gpt-4o-mini,gpt-4o
HumanEval/116,False,3,True,type,none,11.91,817,3,deepseek/deepseek-chat,gpt-4o-mini,gpt-4o
HumanEval/117,False,2,True,type,variable_rename,43.42,394,5,deepseek/deepseek-chat,gpt-4o-mini,gpt-4o
HumanEval/118,True,0,True,none,none,14.52,373,10,deepseek/deepseek-chat,gpt-4o-mini,gpt-4o
HumanEval/119,False,3,True,type,logic_rewrite,42.61,885,4,deepseek/deepseek-chat,gpt-4o-mini,gpt-4o
HumanEval/120,False,1,True,logic,variable_rename,40.99,469,9,deepseek/deepseek-chat,gpt-4o-mini,gpt-4o
HumanEval/121,True,0,True,none,none,48.76,227,6,deepseek/deepseek-chat,gpt-4o-mini,gpt-4o
HumanEval/122,True,0,True,none,none,52.03,850,4,deepseek/deepseek-chat,gpt-4o-mini,gpt-4o
HumanEval/123,False,1,True,logic,logic_rewrite,32.42,529,4,deepseek/deepseek-chat,gpt-4o-mini,gpt-4o
HumanEval/124,True,0,True,none,none,27.45,580,10,deepseek/deepseek-chat,gpt-4o-mini,gpt-4o
HumanEval/125,True,0,True,none,none,62.76,800,10,deepseek/deepseek-chat,gpt-4o-mini,gpt-4o
HumanEval/126,False,3,True,type,none,37.74,816,7,deepseek/deepseek-chat,gpt-4o-mini,gpt-4o
HumanEval/127,True,0,True,none,none,60.42,645,10,deepseek/deepseek-chat,gpt-4o-mini,gpt-4o
HumanEval/128,True,0,True,none,none,49.67,424,8,deepseek/deepseek-chat,gpt-4o-mini,gpt-4o
HumanEval/129,False,1,True,logic,type_cast,21.9,625,9,deepseek/deepseek-chat,gpt-4o-mini,gpt-4o
HumanEval/130,True,0,True,none,none,36.18,482,5,deepseek/deepseek-chat,gpt-4o-mini,gpt-4o
HumanEval/131,True,0,True,none,none,28.23,414,8,deepseek/deepseek-chat,gpt-4o-mini,gpt-4o
HumanEval/132,True,0,True,none,none,41.98,432,3,deepseek/deepseek-chat,gpt-4o-mini,gpt-4o
HumanEval/133,True,0,True,none,none,18.89,397,9,deepseek/deepseek-chat,gpt-4o-mini,gpt-4o
HumanEval/134,True,0,True,none,none,51.22,857,10,deepseek/deepseek-chat,gpt-4o-mini,gpt-4o
HumanEval/135,True,0,True,none,none,35.98,167,4,deepseek/deepseek-chat,gpt-4o-mini,gpt-4o
HumanEval/136,True,0,True,none,none,31.05,399,7,deepseek/deepseek-chat,gpt-4o-mini,gpt-4o
HumanEval/137,True,0,True,none,none,29.03,716,8,deepseek/deepseek-chat,gpt-4o-mini,gpt-4o
HumanEval/138,True,0,True,none,none,50.52,488,8,deepseek/deepseek-chat,gpt-4o-mini,gpt-4o
HumanEval/139,False,2,True,logic,boundary_fix,21.14,888,6,deepseek/deepseek-chat,gpt-4o-mini,gpt-4o
HumanEval/140,True,0,True,none,none,50.34,856,5,deepseek/deepseek-chat,gpt-4o-mini,gpt-4o
HumanEval/141,True,0,True,none,none,50.1,433,7,deepseek/deepseek-chat,gpt-4o-mini,gpt-4o
HumanEval/142,False,2,True,logic,condition_fix,28.57,459,3,deepseek/deepseek-chat,gpt-4o-mini,gpt-4o
HumanEval/143,False,1,True,logic,variable_rename,63.53,716,7,deepseek/deepseek-chat,gpt-4o-mini,gpt-4o
HumanEval/144,False,1,True,assertion,type_cast,13.85,162,7,deepseek/deepseek-chat,gpt-4o-mini,gpt-4o
HumanEval/145,True,0,True,none,none,33.11,338,3,deepseek/deepseek-chat,gpt-4o-mini,gpt-4o
HumanEval/146,True,0,True,none,none,57.12,266,4,deepseek/deepseek-chat,gpt-4o-mini,gpt-4o
HumanEval/147,True,0,True,none,none,12.22,794,3,deepseek/deepseek-chat,gpt-4o-mini,gpt-4o
HumanEval/148,True,0,True,none,none,54.24,461,4,deepseek/deepseek-chat,gpt-4o-mini,gpt-4o
HumanEval/149,False,1,True,runtime,type_cast,42.56,783,6,deepseek/deepseek-chat,gpt-4o-mini,gpt-4o
HumanEval/150,False,3,True,index,type_cast,24.95,752,9,deepseek/deepseek-chat,gpt-4o-mini,gpt-4o
HumanEval/151,True,0,True,none,none,43.4,774,4,deepseek/deepseek-chat,gpt-4o-mini,gpt-4o
HumanEval/152,False,2,True,assertion,condition_fix,23.08,233,5,deepseek/deepseek-chat,gpt-4o-mini,gpt-4o
HumanEval/153,True,0,True,none,none,39.46,310,3,deepseek/deepseek-chat,gpt-4o-mini,gpt-4o
HumanEval/154,True,0,True,none,none,47.29,631,7,deepseek/deepseek-chat,gpt-4o-mini,gpt-4o
HumanEval/155,True,0,True,none,none,24.42,439,10,deepseek/deepseek-chat,gpt-4o-mini,gpt-4o
HumanEval/156,True,0,True,none,none,21.31,420,6,deepseek/deepseek-chat,gpt-4o-mini,gpt-4o
HumanEval/157,True,0,True,none,none,39.04,813,5,deepseek/deepseek-chat,gpt-4o-mini,gpt-4o
HumanEval/158,False,1,True,syntax,variable_rename,17.46,464,7,deepseek/deepseek-chat,gpt-4o-mini,gpt-4o
HumanEval/159,True,0,True,none,none,34.72,461,9,deepseek/deepseek-chat,gpt-4o-mini,gpt-4o
HumanEval/160,False,0,False,index,none,12.59,190,9,deepseek/deepseek-chat,gpt-4o-mini,gpt-4o
HumanEval/161,False,2,True,syntax,variable_rename,21.05,840,3,deepseek/deepseek-chat,gpt-4o-mini,gpt-4o
HumanEval/162,False,2,True,runtime,variable_rename,51.5,329,10,deepseek/deepseek-chat,gpt-4o-mini,gpt-4o
HumanEval/163,True,0,True,none,none,33.21,434,5,deepseek/deepseek-chat,gpt-4o-mini,gpt-4o
